GVKEY;DATADATE;SIC;AT;CHE;DLC;DLTT;SEQ;WCAP;DVC;OIBDP;SALE;TXT;XINT;XRD;AQC;CAPX;CSHO;PRCC_F;market_to_book;log_firm_size;cf;nwc;capex;leverage;div;rd_to_sales;sic_2;ind_cf_vol;ind_cf_no_level_vol;cash;log_cash;aqc_to_asset;year
001004;20150531;5080;1515.0000;54.7000;69.0000;85.0000;845.1000;542.1000;11.9000;83.7000;1594.3000;-28.5000;26.5000;;0.0007;46.3000;35.4230;29.5400;1.132868264;7.3231707179;0.0487128713;0.3217161716;0.0305610561;0.101650165;1;0;50;0.0285055789;55.21263162;0.0361056106;-3.284533464;4.3568713E-7;2015
001045;20151231;4512;48415.0000;6949.0000;2231.0000;18330.0000;5635.0000;-3620.0000;278.0000;8891.0000;40990.0000;-2994.0000;932.0000;;0.0000;6151.0000;624.6220;42.3500;1.4299853702;10.787564962;0.2204895177;-0.218300114;0.1270474027;0.4246824331;1;0;45;0.0299144133;575.70057104;0.1435298978;-1.78627605;0;2015
001050;20151231;3564;593.0500;39.5130;19.4940;157.8340;239.1530;81.3350;;;370.0760;3.0720;5.9640;;;;33.9180;7.6800;1.0359788213;6.3852787125;;0.0705201922;;0.2990102015;0;0;35;0.0501003464;196.94355338;0.06662676;-2.639698866;;2015
001062;20151130;6799;162.3500;10.1550;0.0000;0.0000;160.7440;;0.7720;-1.7100;1.6660;0.0000;0.0000;;;;19.2900;7.1600;0.8606245765;5.0897544985;-0.015287958;;;0;1;0;67;0.0898624057;65.515246222;0.0625500462;-2.707196398;;2015
001072;20150331;3670;2459.0150;843.5060;0.0000;0.0000;2131.9630;1478.2430;67.2510;254.9630;1353.2280;-7.2720;0.9780;11.9510;0.0000;26.5990;168.1900;14.2700;1.1090307705;7.8075161422;0.078895818;0.2581265263;0.0108169328;0;1;0.0088314756;36;0.0530655079;357.40218539;0.3430259677;-0.649838341;0;2015
001075;20151231;4911;15028.2580;39.4880;357.5800;3462.3910;4583.9170;-551.8010;270.5190;1349.0240;3495.4430;237.7200;194.9640;;0.0000;1092.3460;110.9800;64.4800;1.1711491378;9.6176875745;0.0429737765;-0.039345146;0.0726861357;0.254185881;1;0;49;0.01330264;202.0260541;0.0026275833;-5.939059705;0;2015
001076;20151231;7359;2658.8750;37.1680;157.1780;453.2720;1366.6180;;6.8220;1536.9640;3179.7560;77.4110;23.3390;;;60.5570;72.6000;22.3900;1.0973705044;7.88565838;0.5375927789;;0.0227754219;0.2295895821;1;0;73;0.0671478871;128.03670347;0.0139788444;-4.256132735;;2015
001078;20151231;2834;41247.0000;6125.0000;3130.0000;5871.0000;21211.0000;4969.0000;1464.0000;4844.0000;20405.0000;577.0000;163.0000;1405.0000;0.0057;1110.0000;1472.6650;44.9100;2.0892037033;10.627333662;0.0640046549;-0.028026281;0.0269110481;0.2182219313;1;0.0688556726;28;0.1594186108;281.99144253;0.1484956482;-1.746448958;1.3812845E-7;2015
001094;20150630;5160;489.7740;37.4360;10.1970;99.9600;254.2110;185.3100;7.0430;67.2940;546.9510;20.3820;3.9540;5.9420;0.0000;0.6170;29.1470;24.6300;1.9467215695;6.1939440602;0.0733297398;0.3019229277;0.0012597647;0.2249139399;1;0.0108638617;51;0.0269803054;61.497578911;0.0764352538;-2.49179688;0;2015
001104;20151231;3420;81.4210;2.4260;0.0000;25.9130;43.1840;47.6970;;;109.8120;1.8200;0.5700;;;;3.3690;17.4000;1.1895899092;4.399633225;;0.5560113484;;0.3182594171;0;0;34;0.034690927;59.712920377;0.0297957529;-3.483140749;;2015
001119;20151231;6726;;;;;;;;;;;;;;;95.4200;12.8300;;;;;;0;0;0;67;0.0898624057;65.515246222;;;;2015
001121;20151231;5172;243.2150;91.8770;0.0000;0.0000;152.5100;96.3400;3.7120;21.3580;1944.2790;-0.7700;0.0130;;0.0000;11.0740;4.2180;38.4000;1.0389005612;5.4939458258;0.0756655634;0.0183500195;0.0455317312;0;1;0;51;0.0269803054;61.497578911;0.3777604177;-0.49906502;0;2015
001161;20151231;3674;3109.0000;785.0000;230.0000;2032.0000;-412.0000;917.0000;0.0000;-222.0000;3991.0000;14.0000;158.0000;947.0000;0.0000;96.0000;792.0000;2.8700;1.8636346092;8.0420564101;-0.126728852;0.0424573818;0.0308780959;0.7275651335;0;0.2372838887;36;0.0530655079;357.40218539;0.2524927629;-1.0853614;0;2015
001166;20151231;3559;2174.2020;485.3060;0.0000;0.0000;2049.6440;602.4050;;149.8020;727.1410;-6.3670;0.8490;103.4480;0.0000;36.1100;61.7060;38.0000;1.1357665939;7.6844169796;;0.0538583811;0.0166083924;0;0;0.1422667681;35;0.0501003464;196.94355338;0.2232110908;-1.24705072;0;2015
