Day;Date;Spot;Vol;Rate;Hedge;Rehedge_Value;Option_Value;Interpolated_Vol;Delta;Maturity;Forward;Hedge_Position;Stock_Position;Trading_Gain;Position_Value;Acc_Trading_Gain;Trades;Hedge_name;Scenario;Scenario_Group;Hedge_Type;Day_Type
0.25;2000-03-03;0.9628;13.1;0.025368195;1;0.9628;25314.9518;0.130995472;-487012.235;0.25297619;0.968998685;200000;[(200000.0,_0.9689986854055957)];;25314.9518;0;1;200k;scenario1;160;fix;First
0.25;2006-02-07;1.1967;8.775;0.021252723;1;1.1967;21081.08153;0.087746206;-491387.9017;0.25297619;1.203151304;200000;[(200000.0,_1.2031513042155635)];;21081.08153;0;1;200k;scenario10;160;fix;First
0.25;2006-08-02;1.2825;8.225;0.024048757;1;1.2825;21179.15457;0.082245707;-491979.1216;0.25297619;1.290326208;200000;[(200000.0,_1.290326208218706)];;21179.15457;0;1;200k;scenario11;160;fix;First
0.25;2006-09-08;1.273;8.05;0.021043925;1;1.273;20573.55927;0.080496243;-492130.238;0.25297619;1.279795029;200000;[(200000.0,_1.2797950290504407)];;20573.55927;0;1;200k;scenario12;160;fix;First
0.25;2007-01-08;1.3006;6.475;0.016020518;1;1.3006;16906.90504;0.06474714;-493699.0447;0.25297619;1.30588178;200000;[(200000.0,_1.3058817799775742)];;16906.90504;0;1;200k;scenario13;160;fix;First
0.25;2007-02-15;1.313;5.95;0.015186422;1;1.313;15684.57907;0.059497288;-494231.8363;0.25297619;1.31805399;200000;[(200000.0,_1.31805398958174)];;15684.57907;0;1;200k;scenario14;160;fix;First
0.25;2007-04-16;1.3539;6.05;0.013828509;1;1.3539;16443.93463;0.060497531;-494110.5146;0.25297619;1.35864462;200000;[(200000.0,_1.3586446202416154)];;16443.93463;0;1;200k;scenario15;160;fix;First
0.25;2007-07-11;1.3747;5.725;0.010575787;1;1.3747;15798.09016;0.057248112;-494401.9905;0.25297619;1.378382827;200000;[(200000.0,_1.3783828274073386)];;15798.09016;0;1;200k;scenario16;160;fix;First
0.25;2012-04-05;1.3142;10.6675;0.002485462;1;1.3142;28128.4409;0.106674556;-489317.2218;0.25297619;1.31502658;200000;[(200000.0,_1.3150265797853322)];;28128.4409;0;1;200k;scenario17;160;fix;First
0.25;2013-08-01;1.3302;8.26;0.001332492;1;1.3302;22046.11181;0.082599762;-491726.2613;0.25297619;1.330648471;200000;[(200000.0,_1.3306484710382742)];;22046.11181;0;1;200k;scenario18;160;fix;First
0.25;2014-01-06;1.359;7.1625;-1.48784E-05;1;1.359;19530.36197;0.071625003;-492814.2692;0.25297619;1.358994885;200000;[(200000.0,_1.358994884895412)];;19530.36197;0;1;200k;scenario19;160;fix;First
