Day;Date;Spot;Vol;Rate;Hedge;Rehedge_Value;Option_Value;Interpolated_Vol;Delta;Maturity;Forward;Hedge_Position;Stock_Position;Trading_Gain;Position_Value;Acc_Trading_Gain;Trades;Hedge_name;Scenario;Scenario_Group;Hedge_Type;Day_Type
21;2000-03-31;0.9555;12.475;0.025239341;0;;24459.80176;0.122761649;-566257.1425;0.170634921;0.959623938;296908.2157;[(136777.4532164507,_0.9689986854055957),_(701.26473296503536,_0.9677982916406562),_(78867.384243311302,_0.9672823233587494),_(80562.113522843749,_0.9570828012061042)];0;22779.78881;3322.878927;12;200k;scenario1;160;fix;Last
21;2006-03-07;1.1888;8.4;0.022385578;0;;21566.01336;0.082371341;-588626.3467;0.170634921;1.193349616;219274.6074;[(125548.09166496558,_1.2031513042155635),_(93726.515715747752,_1.201333206801842)];0;19594.7003;3397.745477;9;200k;scenario10;160;fix;Last
21;2006-08-30;1.2833;8.15;0.021590178;0;;18347.81675;0.081105913;-514747.3077;0.170634921;1.288036446;221216.3213;[(135630.9934366594,_1.290326208218706),_(85585.327845272142,_1.2880390308856198)];0;18038.17555;1591.94109;5;200k;scenario11;160;fix;Last
21;2006-10-06;1.2601;6.95;0.019088629;0;;23214.81358;0.067434137;-665182.1273;0.170634921;1.264211073;340610.0089;[(126434.28496056848,_1.2797950290504407),_(90216.476487729233,_1.2781963116044617),_(123959.24741030892,_1.267168525992379)];0;19627.86691;637.517629;4;200k;scenario12;160;fix;Last
21;2007-02-05;1.2929;6;0.015466213;0;;17890.498;0.058613747;-614927.781;0.170634921;1.296316568;219504.684;[(200000.0,_1.3058817799775742),_(3062.732574407768,_1.2955850078973625),_(8733.1498596449383,_1.295543730679313),_(7708.801572778204,_1.294590417402993)];0;16004.73522;2918.957522;7;200k;scenario13;160;fix;Last
21;2007-03-15;1.3238;6.325;0.014654126;0;;10171.41819;0.065444326;-394979.0309;0.170634921;1.327114311;107320.6276;[(105028.53269124776,_1.31805398958174),_(2292.094921210024,_1.3169892128708385)];0;11143.78373;1878.518276;4;200k;scenario14;160;fix;Last
21;2007-05-14;1.3546;5.375;0.013136951;0;;12483.5603;0.053584932;-509164.2494;0.170634921;1.357639908;215595.5111;[(101970.49251076416,_1.3586446202416154),_(113625.01856258683,_1.3574595952151565)];0;12401.78084;924.3588107;3;200k;scenario15;160;fix;Last
21;2007-08-08;1.3798;6.05;0.011241673;0;;11998.25367;0.061340469;-448870.948;0.170634921;1.382449303;212545.2884;[(95304.302073825005,_1.3783828274073386),_(109031.99217280364,_1.3780728419867085),_(2539.4517107183347,_1.3677907589555596),_(5669.5424100340751,_1.3677607179623905)];0;12981.59467;3145.032658;7;200k;scenario16;160;fix;Last
21;2012-05-03;1.3152;9.7525;0.001957616;0;;20856.50255;0.097657515;-487372.2351;0.170634921;1.3156394;204659.5624;[(135481.6374823972,_1.3150265797853322),_(69177.924948188593,_1.3147028098237947)];0;21004.27037;2445.784488;9;200k;scenario17;160;fix;Last
21;2013-08-29;1.3241;8.41;0.001362751;0;;21462.35312;0.083086224;-547697.0147;0.170634921;1.324407933;202484.3022;[(119111.71272871608,_1.3306484710382742),_(83372.589504452422,_1.330512948771527)];0;20210.33207;3133.85789;9;200k;scenario18;160;fix;Last
21;2014-02-03;1.3525;7.31;8.99559E-05;0;;19550.89534;0.072097342;-557822.3018;0.170634921;1.352520761;297862.0252;[(107349.10477862973,_1.358994884895412),_(93940.987567528646,_1.358979443913916),_(96571.932844369469,_1.3490422657073466)];0;18585.10857;1852.895582;6;200k;scenario19;160;fix;Last
21;2001-06-21;0.8546;10.75;-0.007766422;0;;16124.64536;0.106978314;-512703.1415;0.170634921;0.853468215;202516.7838;[(107507.99105650251,_0.8555097695075005),_(95008.79270976159,_0.8554802992252982)];0;15713.45162;3520.056947;9;200k;scenario2;160;fix;Last
21;2014-04-18;1.3813;6.0525;-0.000842732;0;;12280.68437;0.061233358;-456015.8727;0.170634921;1.381101384;97010.16517;[(97010.165167054744,_1.377688882710968)];0;12611.77929;2072.457623;4;200k;scenario20;160;fix;Last
21;2014-06-20;1.36;5.125;0.001082331;0;;14171.93578;0.050451967;-569840.3362;0.170634921;1.360251193;317623.7379;[(198425.40373455291,_1.3655455165325376),_(119198.3341988044,_1.3557252327393934)];0;13660.9887;1082.645759;4;200k;scenario21;160;fix;Last
21;2014-07-21;1.3524;5.11;0.001364217;0;;14965.79273;0.050092968;-592817.4335;0.170634921;1.352714852;342843.3817;[(81837.69013109713,_1.3595925683982175),_(118436.6497360268,_1.3596244108471767),_(142569.04186287371,_1.3495293524894636)];0;14038.96085;1187.436141;4;200k;scenario22;160;fix;Last
21;2014-12-01;1.247;8.385;0.00273747;0;;19675.93598;0.082983305;-539221.4389;0.170634921;1.24758262;203236.0193;[(199778.36336796614,_1.2525333639652498),_(2184.6026956964633,_1.2425254808887334),_(515.44434775575064,_1.242326624091511),_(757.60891660055495,_1.2423202929745332)];0;18705.0818;3367.770132;9;200k;scenario23;160;fix;Last
21;2015-02-25;1.1361;8.4725;0.004224344;0;;16900.13735;0.084310035;-514762.3832;0.170634921;1.13691922;202571.2032;[(135959.44758583559,_1.1390724436612285),_(64969.446775272081,_1.13910244266813),_(385.94222925463691,_1.1291320160326463),_(1256.3666344271624,_1.1290982755786296)];0;16478.67867;5268.974176;17;200k;scenario24;160;fix;Last
21;2016-01-01;1.0856;9.93;0.009544867;0;;22542.52946;0.097588639;-575450.6194;0.170634921;1.087369544;203071.8663;[(126872.37742273923,_1.0966222083951849),_(74085.953752489237,_1.0965892392519772),_(2113.5351610581274,_1.0864472361950743)];0;20690.54009;4436.230788;13;200k;scenario25;160;fix;Last
21;2016-02-01;1.0888;10.02;0.010100228;0;;16988.94657;0.100776049;-472426.4305;0.170634921;1.090678112;207847.9956;[(124223.23615833369,_1.0884742263346938),_(83624.759424029413,_1.0877370486020839)];0;17507.77117;2967.225267;9;200k;scenario26;160;fix;Last
21;2001-11-09;0.8939;10.6;-0.014088906;0;;19734.53989;0.104203171;-573360.1087;0.170634921;0.891753592;297050.0714;[(123088.57814074738,_0.8997250018800342),_(75311.968016012339,_0.8997988585041923),_(98649.525222492055,_0.8903818964649817)];0;18279.26841;1654.802214;6;200k;scenario3;160;fix;Last
21;2002-02-25;0.8695;9;-0.015187177;0;;10564.02844;0.09191755;-426255.3707;0.170634921;0.86724964;99006.60136;[(99006.601358902291,_0.8617831532277189)];0;11106.65111;1059.319506;2;200k;scenario4;160;fix;Last
21;2002-04-03;0.881;8.575;-0.014665151;0;;8410.527992;0.089848906;-367048.4857;0.170634921;0.878798153;72939.00457;[(72939.004566476011,_0.8683993567885061)];0;9170.906237;3272.822856;6;200k;scenario5;160;fix;Last
21;2002-08-29;0.984;10.55;-0.015898897;0;;13785.82673;0.107953519;-419913.2491;0.170634921;0.981334117;101546.3666;[(101546.36655824294,_0.9735121356451726)];0;14582.27831;5062.758535;12;200k;scenario6;160;fix;Last
21;2002-10-17;0.9707;9;-0.014942848;0;;17219.62751;0.088788009;-555109.0046;0.170634921;0.968228089;189374.1136;[(99382.406802781217,_0.9738312722594605),_(89991.706795320672,_0.9750816082134254)];0;16043.01358;2608.554451;7;200k;scenario7;160;fix;Last
21;2003-02-26;1.0791;9.9;-0.012308221;0;;17759.6565;0.098933261;-494821.9527;0.170634921;1.076836039;186424.5686;[(125906.66283145407,_1.0771802392637444),_(60517.905776253145,_1.0775936006980076)];0;17670.28587;3954.275958;11;200k;scenario8;160;fix;Last
21;2005-12-07;1.1725;9.025;0.020235856;0;;21342.2434;0.08890208;-563291.3953;0.170634921;1.176555574;218229.0172;[(134737.81875788845,_1.1842337081402092),_(79790.036871409102,_1.1826202107741632),_(3701.1615216051578,_1.1724411522105564)];0;19844.22049;2941.520676;9;200k;scenario9;160;fix;Last
21;1999-04-28;1.0621;8.8;0.02379525;0;;21799.07692;0.085926324;-616240.3595;0.170634921;1.066421212;300899.5458;[(121102.02126818959,_1.0783265376009332),_(84566.10049629386,_1.0778677892484023),_(95231.424066752486,_1.067636251158129)];0;19283.84896;1521.405051;6;200k;scenario1;170;fix;Last
21;2002-10-09;0.9902;9.25;-0.015223559;0;;9085.367787;0.098821806;-333098.2583;0.170634921;0.987631124;107877.1678;[(107877.16781899525,_0.9712155893526631)];0;10860.83531;2567.407846;6;200k;scenario10;170;fix;Last
21;2003-02-26;1.0791;9.9;-0.012308221;0;;17759.6565;0.098933261;-494821.9527;0.170634921;1.076836039;186424.5686;[(125906.66283145407,_1.0771802392637444),_(60517.905776253145,_1.0775936006980076)];0;17670.28587;3954.275958;11;200k;scenario11;170;fix;Last
21;2003-10-31;1.1593;9.9;-0.010561052;0;;23634.59921;0.097391673;-569943.8517;0.170634921;1.157212725;279111.7252;[(128272.82214109774,_1.1664020222396516),_(67614.762385562761,_1.1672192094148102),_(83224.140707743878,_1.157388112194718)];0;21761.30681;6523.634928;22;200k;scenario12;170;fix;Last
21;2005-10-24;1.1986;9.025;0.020637974;0;;21186.89811;0.089071084;-552835.8095;0.170634921;1.202828382;303855.4973;[(128125.62476174737,_1.2095172550097841),_(78931.240503672743,_1.2087890415586064),_(1270.060838770878,_1.1986424133851805),_(5382.6970486521604,_1.1983819835769205),_(90145.87414553744,_1.198085035448155)];0;20319.30353;3168.147262;10;200k;scenario13;170;fix;Last
21;2005-12-06;1.178;9.025;0.020090225;0;;19679.13169;0.089435519;-532806.5732;0.170634921;1.182045224;219108.6628;[(200000.0,_1.18643115564876),_(8882.4902995025041,_1.1762266448165226),_(479.37708481552545,_1.1753389562022487),_(5057.4589746313286,_1.174778326103905),_(1965.0315123858745,_1.17465123487965),_(2724.3049305035966,_1.1745556245423592)];0;18931.09789;3974.520391;11;200k;scenario14;170;fix;Last
21;2006-03-07;1.1888;8.4;0.022385578;0;;21566.01336;0.082371341;-588626.3467;0.170634921;1.193349616;219274.6074;[(125548.09166496558,_1.2031513042155635),_(93726.515715747752,_1.201333206801842)];0;19594.7003;3397.745477;9;200k;scenario15;170;fix;Last
21;2006-08-30;1.2833;8.15;0.021590178;0;;18347.81675;0.081105913;-514747.3077;0.170634921;1.288036446;221216.3213;[(135630.9934366594,_1.290326208218706),_(85585.327845272142,_1.2880390308856198)];0;18038.17555;1591.94109;5;200k;scenario16;170;fix;Last
21;2006-10-06;1.2601;6.95;0.019088629;0;;23214.81358;0.067434137;-665182.1273;0.170634921;1.264211073;340610.0089;[(126434.28496056848,_1.2797950290504407),_(90216.476487729233,_1.2781963116044617),_(123959.24741030892,_1.267168525992379)];0;19627.86691;637.517629;4;200k;scenario17;170;fix;Last
