"","sigma_s","sigma_e","theta","k_d","lambda","lambda_real","v_bar","time","price","price_cond","k_tilde"
"2",1,0.5,1,0.5,0.5,0.95,5,0.01,5.03995131021909,0.799902983644981,0.166551534381366
"3",1,0.5,1,0.5,0.5,0.95,5,0.11,5.05445279985164,0.785401494012428,0.230609816835738
"4",1,0.5,1,0.5,0.5,0.95,5,0.21,5.06849717873432,0.771357115129746,0.294668099290109
"5",1,0.5,1,0.5,0.5,0.95,5,0.31,5.08209885574808,0.75775543811599,0.358726381744481
"6",1,0.5,1,0.5,0.5,0.95,5,0.41,5.09527178558228,0.744582508281787,0.422784664198852
"7",1,0.5,1,0.5,0.5,0.95,5,0.51,5.1080294830516,0.73182481081247,0.486842946653224
"8",1,0.5,1,0.5,0.5,0.95,5,0.61,5.12038503696156,0.719469256902512,0.550901229107595
"9",1,0.5,1,0.5,0.5,0.95,5,0.71,5.13235112353706,0.707503170327012,0.614959511561967
"10",1,0.5,1,0.5,0.5,0.95,5,0.81,5.14394001942759,0.695914274436479,0.679017794016339
"11",1,0.5,1,0.5,0.5,0.95,5,0.91,5.15516361430251,0.684690679561561,0.74307607647071
"12",1,0.5,1,0.5,0.5,0.95,5,1.01,5.16603342304928,0.673820870814794,0.807134358925082
"13",1,0.5,1,0.5,0.5,0.95,5,1.11,5.17656059758721,0.663293696276863,0.871192641379453
"14",1,0.5,1,0.5,0.5,0.95,5,1.21,5.18675593830882,0.653098355555249,0.935250923833825
"15",1,0.5,1,0.5,0.5,0.95,5,1.31,5.19662990516054,0.643224388703531,0.999309206288196
"16",1,0.5,1,0.5,0.5,0.95,5,1.41,5.20619262837411,0.633661665489959,1.06336748874257
"17",1,0.5,1,0.5,0.5,0.95,5,1.51,5.21545391885975,0.624400375004316,1.12742577119694
"18",1,0.5,1,0.5,0.5,0.95,5,1.61,5.2244232782717,0.615431015592372,1.19148405365131
"19",1,0.5,1,0.5,0.5,0.95,5,1.71,5.23310990875644,0.606744385107632,1.25554233610568
"20",1,0.5,1,0.5,0.5,0.95,5,1.81,5.24152272239372,0.598331571470356,1.31960061856005
"21",1,0.5,1,0.5,0.5,0.95,5,1.91,5.24967035033989,0.590183943524186,1.38365890101443
"22",1,0.5,1,0.5,0.5,0.95,5,2.01,5.2575611516831,0.582293142180972,1.4477171834688
"23",1,0.5,1,0.5,0.5,0.95,5,2.11,5.26520322201933,0.574651071844744,1.51177546592317
"24",1,0.5,1,0.5,0.5,0.95,5,2.21,5.27260440175808,0.567249892105997,1.57583374837754
"25",1,0.5,1,0.5,0.5,0.95,5,2.31,5.27977228416627,0.560082009697802,1.63989203083191
"26",1,0.5,1,0.5,0.5,0.95,5,2.41,5.28671422315861,0.553140070705465,1.70395031328628
"27",1,0.5,1,0.5,0.5,0.95,5,2.51,5.29343734084232,0.546416953021749,1.76800859574065
"28",1,0.5,1,0.5,0.5,0.95,5,2.61,5.29994853482415,0.539905759039925,1.83206687819503
"29",1,0.5,1,0.5,0.5,0.95,5,2.71,5.30625448528693,0.533599808577146,1.8961251606494
"30",1,0.5,1,0.5,0.5,0.95,5,2.81,5.31236166184318,0.527492632020892,1.96018344310377
"31",1,0.5,1,0.5,0.5,0.95,5,2.91,5.31827633017263,0.521577963691445,2.02424172555814
"32",1,0.5,1,0.5,0.5,0.95,5,3.01,5.32400455845048,0.515849735413595,2.08830000801251
"33",1,0.5,1,0.5,0.5,0.95,5,3.11,5.3295522235731,0.510302070290969,2.15235829046688
"34",1,0.5,1,0.5,0.5,0.95,5,3.21,5.33492501718746,0.504929276676616,2.21641657292126
"35",1,0.5,1,0.5,0.5,0.95,5,3.31,5.34012845153044,0.499725842333634,2.28047485537563
"36",1,0.5,1,0.5,0.5,0.95,5,3.41,5.3451678650842,0.494686428779874,2.34453313783
"37",1,0.5,1,0.5,0.5,0.95,5,3.51,5.35004842805317,0.489805865810905,2.40859142028437
"38",1,0.5,1,0.5,0.5,0.95,5,3.61,5.35477514766845,0.485079146195623,2.47264970273874
"39",1,0.5,1,0.5,0.5,0.95,5,3.71,5.359352873325,0.480501420539067,2.53670798519311
"40",1,0.5,1,0.5,0.5,0.95,5,3.81,5.36378630155691,0.476067992307161,2.60076626764749
"41",1,0.5,1,0.5,0.5,0.95,5,3.91,5.36807998085578,0.471774313008292,2.66482455010186
"42",1,0.5,1,0.5,0.5,0.95,5,4.01,5.37223831633731,0.467615977526765,2.72888283255623
"43",1,0.5,1,0.5,0.5,0.95,5,4.11,5.37626557426071,0.463588719603361,2.7929411150106
"44",1,0.5,1,0.5,0.5,0.95,5,4.21,5.38016588640572,0.459688407458351,2.85699939746497
"45",1,0.5,1,0.5,0.5,0.95,5,4.31,5.38394325431159,0.455911039552486,2.92105767991934
"46",1,0.5,1,0.5,0.5,0.95,5,4.41,5.38760155338247,0.452252740481599,2.98511596237371
"47",1,0.5,1,0.5,0.5,0.95,5,4.51,5.39114453686345,0.448709757000621,3.04917424482809
"48",1,0.5,1,0.5,0.5,0.95,5,4.61,5.39457583969114,0.445278454172929,3.11323252728246
"49",1,0.5,1,0.5,0.5,0.95,5,4.71,5.39789898222301,0.441955311641064,3.17729080973683
"50",1,0.5,1,0.5,0.5,0.95,5,4.81,5.40111737384906,0.438736920015014,3.2413490921912
"51",1,0.5,1,0.5,0.5,0.95,5,4.91,5.40423431648974,0.435619977374333,3.30540737464557
"52",1,0.5,1,0.5,0.5,0.95,5,5.01,5.40725300798354,0.432601285880527,3.36946565709994
"53",1,0.5,1,0.5,0.5,0.95,5,5.11,5.41017654536785,0.429677748496217,3.43352393955432
"54",1,0.5,1,0.5,0.5,0.95,5,5.21,5.41300792805634,0.426846365807728,3.49758222200869
"55",1,0.5,1,0.5,0.5,0.95,5,5.31,5.41575006091625,0.424104232947821,3.56164050446306
"56",1,0.5,1,0.5,0.5,0.95,5,5.41,5.41840575724863,0.421448536615443,3.62569878691743
